1,2,3
2,3,5
4,5,9
6,2,8
8,4,12
3,7,10
9,1,10
5,6,11
7,3,10
10,10,20
1,1,2
0,5,5
9,0,9
12,12,24
-2,2,0
-5,-3,-8
8,-8,0
15,-5,10
100,200,300
-50,50,0
3,7,10
-4,9,5
0,0,0
15,-7,8
1000,2000,3000
-100,-200,-300
50,-50,0
123456789,987654321,1111111110
-987654321,987654321,0
25,25,50
3,4,7
-5,8,3
10,-2,8
0,0,0
9,9,18
-7,-4,-11
6,-1,5
2,2,4
-3,7,4
15,10,25
12,-3,9
-1,-5,-6
8,0,8
1,3,4
-8,-8,-16
5,7,12
-6,6,0
11,2,13
4,-4,0
-9,1,-8
14,9,23
-2,-2,-4
7,6,13
-4,4,0
3,-6,-3
16,-5,11
-7,-7,-14
0,2,2
5,3,8
-1,0,-1
9,1,10
-3,3,0
6,8,14
-8,-1,-9
2,-7,-5
12,12,24
-4,7,3
1,-1,0
8,-9,-1
-6,0,-6
3,6,9
-5,-5,-10
10,3,13
0,-4,-4
9,-2,7
-7,10,3
6,-3,3
2,0,2
-3,-6,-9
15,-4,11
12,5,17
-1,1,0
8,7,15
1,-9,-8
-8,3,-5
5,11,16
-6,-2,-8
11,-5,6
4,4,8
-9,-8,-17
14,-1,13
-2,5,3
7,-4,3
-4,2,-2
3,1,4
-5,14,9
10,-6,4
0,-3,-3
9,-7,2
-7,9,2
6,-2,4
2,4,6
-3,-1,-4
15,3,18
12,-4,8
-1,-8,-9
8,-1,7
1,8,9
-8,-5,-13
5,-3,2
-6,16,10
11,-3,8
4,-5,-1
-9,2,-7
14,5,19
-2,7,5
7,-5,2
-4,3,-1
3,5,8
-5,-7,-12
10,1,11
0,-1,-1
9,-8,1
-7,1,-6
6,1,7
2,3,5
-3,-9,-12
15,7,22
12,-2,10
-1,-7,-8
789,256,1045
-123,456,333
9876,-5432,4444
1000000,999999,1999999
-987654,1234567,246913
123456789,-987654321,-864197532
9999,1,10000
-9999999,9999999,0
1234567890,987654321,2222222211
-111111111,-222222222,-333333333
999999999,1,1000000000
-9876543210,1234567890,-8641975320
8888888888,-8888888888,0
98765432109876,12345678901234,11111111111110
-123456789012345,-98765432109876,-222222221222221
999999999999999,1,1000000000000000
-1111111111111111,2222222222222222,1111111111111111
123456789012345678,-987654321098765432,-864197532086419754
888888888888888888,888888888888888888,1777777777777777776
-98765432109876543210,12345678901234567890,-86419753208641975320
99999999999999999999,1,100000000000000000000
-111111111111111111111,-222222222222222222222,-333333333333333333333
1234567890123456789012,987654321098765432109,2222222211222222211221
-12345678901234567890123,98765432109876543210987,86419753208641975420864
99999999999999999999999,1,100000000000000000000000
-111111111111111111111111,222222222222222222222222,111111111111111111111111
12345678901234567890123456,-98765432109876543210987654,-86419753208641975320864198
987654321098765432109876543210,123456789012345678901234567890,111111111111111111111111111100
-1234567890123456789012345678901,-9876543210987654321098765432109,-11111111111111111111111111120010
9999999999999999999999999999999,1,10000000000000000000000000000000
-11111111111111111111111111111111,22222222222222222222222222222222,11111111111111111111111111111111
